                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.63259,                0.55816,                  1.102,                0.92857,                0.91667,                0.93307,                0.84507,                0.56891,                0.61108,                 1.1458,             0.00095186,             0.00095186,             0.00095186
                     67,                0.63538,                0.54409,                 1.0857,                0.98649,                0.98611,                0.98972,                0.87961,                0.58674,                 0.4888,                 1.1342,             0.00094085,             0.00094085,             0.00094085
                     68,                0.62971,                0.52728,                 1.1037,                0.93902,                0.93056,                0.93816,                0.84249,                0.58691,                0.58357,                  1.123,             0.00092985,             0.00092985,             0.00092985
                     69,                0.59538,                0.49921,                 1.0752,                0.94638,                0.91667,                 0.9525,                0.86082,                0.51645,                0.57984,                 1.0643,             0.00091885,             0.00091885,             0.00091885
                     70,                0.62559,                0.52106,                 1.0935,                0.94036,                0.92312,                0.95992,                0.87576,                0.51145,                0.50006,                 1.0683,             0.00090785,             0.00090785,             0.00090785
                     71,                0.62959,                0.51503,                 1.1124,                0.95947,                0.94444,                0.96263,                0.86955,                 0.5489,                0.53113,                 1.0876,             0.00089685,             0.00089685,             0.00089685
                     72,                0.61341,                0.49756,                 1.0765,                0.97296,                0.95807,                0.96994,                0.87236,                0.51559,                0.46418,                 1.0386,             0.00088584,             0.00088584,             0.00088584
                     73,                0.60656,                0.50548,                  1.076,                0.98645,                0.97105,                0.97526,                0.88339,                0.51717,                0.48593,                 1.0489,             0.00087484,             0.00087484,             0.00087484
                     74,                0.60356,                0.50794,                 1.0702,                0.93902,                0.93056,                0.94045,                0.83518,                0.51836,                0.63596,                 1.0763,             0.00086384,             0.00086384,             0.00086384
                     75,                0.64046,                0.52819,                 1.0933,                0.98222,                0.94444,                0.97384,                0.87436,                 0.5871,                0.56522,                  1.116,             0.00085284,             0.00085284,             0.00085284
                     76,                0.64765,                0.53142,                 1.1022,                0.90719,                 0.8746,                0.88893,                0.78811,                0.56433,                0.91161,                 1.1266,             0.00084184,             0.00084184,             0.00084184
