                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.69134,                 0.6324,                 1.1371,                0.98133,                0.95118,                0.97592,                 0.8717,                0.61466,                0.65249,                 1.1686,             0.00059429,             0.00059429,             0.00059429
                     67,                0.69407,                0.60357,                 1.1282,                0.96154,                0.95833,                0.97225,                0.85931,                0.62352,                0.53789,                 1.2136,             0.00057778,             0.00057778,             0.00057778
                     68,                0.67805,                0.59132,                 1.1264,                   0.95,                0.94444,                0.96364,                0.83223,                0.64005,                0.55205,                 1.2315,             0.00056128,             0.00056128,             0.00056128
                     69,                0.63024,                0.55729,                 1.1033,                   0.95,                0.94444,                0.94972,                0.83656,                0.62229,                 0.6111,                 1.1663,             0.00054478,             0.00054478,             0.00054478
                     70,                0.65617,                0.58245,                 1.1055,                0.97222,                0.97222,                0.98356,                0.86816,                0.62047,                0.59133,                 1.1788,             0.00052827,             0.00052827,             0.00052827
                     71,                0.67996,                0.59735,                 1.1407,                0.98649,                0.98611,                0.98972,                0.87666,                0.65721,                0.53709,                 1.2065,             0.00051177,             0.00051177,             0.00051177
                     72,                0.65568,                0.57284,                 1.0999,                0.97368,                0.97222,                0.97961,                0.87109,                0.56801,                0.58965,                 1.1378,             0.00049527,             0.00049527,             0.00049527
                     73,                0.63994,                 0.5772,                 1.1056,                0.98649,                0.98611,                0.98932,                0.88457,                0.57524,                0.48219,                 1.1682,             0.00047876,             0.00047876,             0.00047876
                     74,                0.62083,                0.54975,                  1.084,                0.97847,                0.97222,                0.98508,                0.89486,                0.51816,                0.42732,                 1.1094,             0.00046226,             0.00046226,             0.00046226
                     75,                0.66027,                 0.5603,                 1.1074,                0.96051,                0.91645,                0.95248,                0.84557,                 0.6276,                0.64571,                 1.1782,             0.00044576,             0.00044576,             0.00044576
                     76,                0.63271,                0.56851,                 1.0913,                0.96053,                0.95833,                0.97366,                0.85766,                0.59123,                0.52332,                 1.1708,             0.00042925,             0.00042925,             0.00042925
                     77,                0.63191,                0.55299,                 1.1001,                0.97368,                0.97222,                 0.9802,                0.86563,                0.60745,                0.68923,                 1.1842,             0.00041275,             0.00041275,             0.00041275
                     78,                0.61391,                0.52855,                 1.0862,                0.97368,                0.97222,                0.98214,                0.90097,                0.54552,                0.48444,                 1.1477,             0.00039625,             0.00039625,             0.00039625
                     79,                0.61839,                0.53408,                 1.0949,                0.96154,                0.95833,                0.97458,                0.88271,                0.56708,                0.47891,                 1.1686,             0.00037974,             0.00037974,             0.00037974
                     80,                0.59929,                0.51532,                 1.0627,                0.96669,                0.93053,                0.96551,                0.88411,                0.52269,                0.53518,                  1.128,             0.00036324,             0.00036324,             0.00036324
                     81,                0.62022,                0.52001,                  1.084,                0.96154,                0.95833,                0.97384,                0.89161,                0.53681,                0.62938,                 1.1246,             0.00034674,             0.00034674,             0.00034674
                     82,                0.60111,                0.49809,                 1.0774,                0.96154,                0.95833,                0.97416,                0.88338,                0.55937,                0.54897,                 1.1356,             0.00033023,             0.00033023,             0.00033023
                     83,                0.63038,                0.53265,                 1.1017,                0.96154,                0.95833,                0.97502,                 0.8864,                0.54849,                0.58564,                 1.1465,             0.00031373,             0.00031373,             0.00031373
                     84,                0.56753,                0.49032,                 1.0605,                0.97368,                0.97222,                0.98218,                0.89007,                0.61385,                0.50668,                 1.2226,             0.00029723,             0.00029723,             0.00029723
                     85,                0.60558,                0.51965,                 1.0831,                0.96154,                0.95833,                 0.9734,                0.87785,                0.60608,                0.54135,                 1.2166,             0.00028072,             0.00028072,             0.00028072
                     86,                0.65059,                0.56112,                 1.1153,                0.97368,                0.97222,                0.98139,                  0.882,                0.55935,                0.48396,                  1.133,             0.00026422,             0.00026422,             0.00026422
                     87,                0.65794,                0.56459,                 1.1194,                0.97368,                0.97222,                0.98214,                 0.8946,                0.57677,                0.54477,                  1.163,             0.00024772,             0.00024772,             0.00024772
                     88,                0.61519,                0.54708,                 1.0915,                0.96154,                0.95833,                0.97216,                0.89534,                0.52301,                 0.6001,                 1.1277,             0.00023121,             0.00023121,             0.00023121
                     89,                0.59915,                0.53487,                 1.0802,                   0.95,                0.94444,                0.96136,                0.86706,                0.53812,                0.63971,                 1.1414,             0.00021471,             0.00021471,             0.00021471
                     90,                0.38592,                0.34045,                0.93187,                0.96154,                0.95833,                0.97459,                0.86819,                0.58877,                0.60284,                 1.1595,             0.00019821,             0.00019821,             0.00019821
                     91,                0.41982,                0.33861,                 0.9542,                0.98649,                0.98611,                0.99013,                0.88457,                0.54402,                0.48867,                 1.1194,              0.0001817,              0.0001817,              0.0001817
                     92,                0.37589,                 0.3129,                0.94075,                0.97368,                0.97222,                0.98297,                 0.8935,                0.47549,                0.46376,                 1.0524,              0.0001652,              0.0001652,              0.0001652
                     93,                0.37133,                0.30489,                0.91712,                0.97368,                0.97222,                0.98172,                0.89239,                0.45798,                0.48615,                 1.0381,              0.0001487,              0.0001487,              0.0001487
                     94,                 0.3593,                0.29558,                0.90966,                0.97368,                0.97222,                0.98172,                0.89034,                0.48864,                 0.5061,                 1.0641,             0.00013219,             0.00013219,             0.00013219
                     95,                0.35655,                0.29544,                0.89847,                0.97191,                0.95833,                0.97449,                 0.8852,                 0.4544,                 0.5176,                 1.0459,             0.00011569,             0.00011569,             0.00011569
                     96,                0.34271,                0.29693,                0.89988,                      1,                0.94311,                0.97607,                0.89397,                 0.4763,                0.46655,                 1.0648,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.3591,                0.29643,                0.91415,                0.96682,                0.95833,                0.97528,                0.89018,                0.46049,                0.45792,                 1.0495,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.33619,                0.28257,                0.90186,                0.98609,                0.94356,                0.97566,                0.90002,                0.47873,                0.50288,                 1.0608,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.32711,                0.28282,                0.88884,                0.96871,                0.95833,                0.97528,                0.89853,                0.45718,                0.51324,                 1.0444,             4.9677e-05,             4.9677e-05,             4.9677e-05
